Grant          ND0515191520010711B15757064
Reeves         ND9999999920050509B18507670
French         ND6444954520110217B31086233
Schwartz       IL0000000120130427B18245573
Deleon         IL0062061720041012B25624036
Mitchell       IL9600983220021120B10000001
Sharp          NC6675678720040412B16783175
Sutton         NC4236010120050129B24581906
Hale           NC4034026720050726B19999999
Matthews       NC1939083220180317B39876687
Mcguire        AL9317711320150628B38056896
Parks          AL1053276720050729B13363081
Duncan         AL5240154920070916B27426065
Casey          AL7806243220160806B36297997
Cain           OH1498289820180409C30229323
Vaughn         OH4478648820010704C13363241
Murray         OH8790841220100325C10159184
Bishop         IA6938040320030719C22143726
BarnesFisher   IA9416506220160527J16511443
MasonShaw      IA3661064320181203J14320879
Keller         IA7646705220090317J39249990
Gomez          IA6799738920160303J32684240
Dawson         IA5663860520111203J15455443
Cameron        SC7953394720141230J21800679
Cooper         SC9784178720120825J13470317
PooleCalderon  SC2756738720061024J27489130
Smith          SC2697104520120312J10741509
Hess           SC2123292120180910J19184121
Nelson         SC9041843220130211R32085118
Alvarado       CO5937075320170608R21394732
Lamb           CO9138381420040714R39875222
Simmons        CO5517796020040306R19933938
Jackson        CO2969925020100918R29754276
Sullivan       CO7782729420121025R39763148
Phillips       CO5427139520120214R21704231
Lee            CO3482853120011005R15501358
Buchanan       WA8326683620050417R34382343
Underwood      WA8207219220090710R20970004
Dawson         WA9880239620090910R28643226
Day            MI6167396320030528P16547084
Powell         MI5098246120190423P21760901
Morgan         MI3277440820150316P35298744
Farmer         MI9595249020040227P28698511
Pearson        MI8348090120050418P31944893
Mueller        WA7844112620040513S37427283
Tran           WA9980002520120713S16209519
Warner         WA9767131520030807S33699009
Bauer          WA0915583220170424S23485253
Wagner         TN0556387720010127S32652805
Ford           TN9307628020030903S21486658
