Grant          ND0515191520010711B15757064
Reeves         DE9999999920050509B18507670
French         IL6444954520110217B31086233
Schwartz       RI0000000120130427B18245573
Deleon         AZ0062061720041012B25624036
Mitchell       LA9600983220021120B10000001
Sharp          NC6675678720040412B16783175
Sutton         NY4236010120050129B24581906
Hale           LA4034026720050726B19999999
Matthews       WA1939083220180317B39876687
Mcguire        AL9317711320150628B38056896
Parks          KY1053276720050729B13363081
Duncan         OH5240154920070916B27426065
Casey          WV7806243220160806B36297997
Cain           AS1498289820180409C30229323
Vaughn         OH4478648820010704C13363241
Murray         KY8790841220100325C10159184
Bishop         IA6938040320030719C22143726
BarnesFisher   VT9416506220160527J16511443
MasonShaw      SD3661064320181203J14320879
Keller         CT7646705220090317J39249990
Gomez          PR6799738920160303J32684240
Dawson         DE5663860520111203J15455443
Cameron        SC7953394720141230J21800679
Cooper         GA9784178720120825J13470317
PooleCalderon  CA2756738720061024J27489130
Smith          MI2697104520120312J10741509
Hess           VT2123292120180910J19184121
Nelson         SC9041843220130211R32085118
Alvarado       CO5937075320170608R21394732
Lamb           VI9138381420040714R39875222
Simmons        AK5517796020040306R19933938
Jackson        HI2969925020100918R29754276
Sullivan       IN7782729420121025R39763148
Phillips       GA5427139520120214R21704231
Lee            MD3482853120011005R15501358
Buchanan       MT8326683620050417R34382343
Underwood      SC8207219220090710R20970004
Dawson         SC9880239620090910R28643226
Day            MI6167396320030528P16547084
Powell         NH5098246120190423P21760901
Morgan         MD3277440820150316P35298744
Farmer         WV9595249020040227P28698511
Pearson        AK8348090120050418P31944893
Mueller        WA7844112620040513S37427283
Tran           MA9980002520120713S16209519
Warner         OH9767131520030807S33699009
Bauer          MI0915583220170424S23485253
Wagner         TN0556387720010127S32652805
Ford           WV9307628020030903S21486658
